tpvId,tagNumber,propertyId,value,unitOfMeasureId,cfihosId
TPV-0048327,FCV-16102,PROP-006,2958.7,UOM-KW,CFIHOS-00000030
TPV-0048328,FCV-16102,PROP-009,150#,,CFIHOS-00000030
TPV-0048329,TT-16103,PROP-001,69.4,UOM-BARG,CFIHOS-00000030
TPV-0048330,TT-16103,PROP-004,-10.4,UOM-DEGC,CFIHOS-00000030
TPV-0048331,E-16104,PROP-010,Personnel Protection,,CFIHOS-00000030
TPV-0048332,E-16104,PROP-012,13.1,UOM-BARG,CFIHOS-00000030
TPV-0048333,E-16104,PROP-006,1317.7,UOM-KW,CFIHOS-00000030
TPV-0048334,E-16104,PROP-008,25,UOM-MM,CFIHOS-00000030
TPV-0048335,COL-16105,PROP-012,29.9,UOM-BARG,CFIHOS-00000030
TPV-0048336,COL-16105,PROP-011,3115.0,UOM-KG,CFIHOS-00000030
TPV-0048337,COL-16105,PROP-006,595.6,UOM-KW,CFIHOS-00000030
TPV-0048338,COL-16105,PROP-010,None,,CFIHOS-00000030
TPV-0048339,LT-16106,PROP-008,600,UOM-MM,CFIHOS-00000030
TPV-0048340,LT-16106,PROP-001,40.9,UOM-BARG,CFIHOS-00000030
TPV-0048341,LT-16106,PROP-010,Mineral Wool,,CFIHOS-00000030
TPV-0048342,PT-16107,PROP-012,3.0,UOM-BARG,CFIHOS-00000030
TPV-0048343,PT-16107,PROP-006,2320.8,UOM-KW,CFIHOS-00000030
TPV-0048344,PT-16107,PROP-003,105.8,UOM-BARG,CFIHOS-00000030
TPV-0048345,PT-16107,PROP-002,415.7,UOM-DEGC,CFIHOS-00000030
TPV-0048346,K-16108,PROP-001,69.6,UOM-BARG,CFIHOS-00000030
TPV-0048347,K-16108,PROP-010,Mineral Wool,,CFIHOS-00000030
TPV-0048348,K-16108,PROP-009,150#,,CFIHOS-00000030
TPV-0048349,K-16108,PROP-011,4410.7,UOM-KG,CFIHOS-00000030
TPV-0048350,TT-16109,PROP-001,89.6,UOM-BARG,CFIHOS-00000030
TPV-0048351,TT-16109,PROP-006,2768.4,UOM-KW,CFIHOS-00000030
TPV-0048352,TT-16109,PROP-004,248.3,UOM-DEGC,CFIHOS-00000030
TPV-0048353,TT-16109,PROP-012,2.3,UOM-BARG,CFIHOS-00000030
TPV-0048354,PT-16110,PROP-006,2208.3,UOM-KW,CFIHOS-00000030
TPV-0048355,PT-16110,PROP-002,194.6,UOM-DEGC,CFIHOS-00000030
TPV-0048356,PT-16110,PROP-008,100,UOM-MM,CFIHOS-00000030
TPV-0048357,TT-16111,PROP-009,150#,,CFIHOS-00000030
TPV-0048358,TT-16111,PROP-006,1732.0,UOM-KW,CFIHOS-00000030
TPV-0048359,TT-16111,PROP-010,Mineral Wool,,CFIHOS-00000030
TPV-0048360,TT-16111,PROP-007,Carbon Steel,,CFIHOS-00000030
TPV-0048361,FT-16112,PROP-009,150#,,CFIHOS-00000030
TPV-0048362,FT-16112,PROP-004,16.5,UOM-DEGC,CFIHOS-00000030
TPV-0048363,FT-16112,PROP-011,11228.6,UOM-KG,CFIHOS-00000030
TPV-0048364,FT-16112,PROP-010,None,,CFIHOS-00000030
TPV-0048365,FCV-16113,PROP-008,300,UOM-MM,CFIHOS-00000030
TPV-0048366,FCV-16113,PROP-001,141.5,UOM-BARG,CFIHOS-00000030
TPV-0048367,FCV-16113,PROP-013,98.1,UOM-BARG,CFIHOS-00000030
TPV-0048368,COL-16114,PROP-009,900#,,CFIHOS-00000030
TPV-0048369,COL-16114,PROP-004,89.6,UOM-DEGC,CFIHOS-00000030
TPV-0048370,COL-16114,PROP-012,93.2,UOM-BARG,CFIHOS-00000030
TPV-0048371,P-16115,PROP-001,64.0,UOM-BARG,CFIHOS-00000030
TPV-0048372,P-16115,PROP-009,300#,,CFIHOS-00000030
TPV-0048373,P-16115,PROP-005,300.7,UOM-M3H,CFIHOS-00000030
TPV-0048374,P-16115,PROP-006,686.7,UOM-KW,CFIHOS-00000030
TPV-0048375,TT-16116,PROP-002,112.3,UOM-DEGC,CFIHOS-00000030
TPV-0048376,TT-16116,PROP-010,Mineral Wool,,CFIHOS-00000030
TPV-0048377,PT-16117,PROP-001,57.4,UOM-BARG,CFIHOS-00000030
TPV-0048378,PT-16117,PROP-013,11.6,UOM-BARG,CFIHOS-00000030
TPV-0048379,PT-16117,PROP-012,82.7,UOM-BARG,CFIHOS-00000030
TPV-0048380,FT-16118,PROP-009,600#,,CFIHOS-00000030
TPV-0048381,FT-16118,PROP-001,113.2,UOM-BARG,CFIHOS-00000030
TPV-0048382,PSV-16119,PROP-012,47.2,UOM-BARG,CFIHOS-00000030
TPV-0048383,PSV-16119,PROP-013,99.1,UOM-BARG,CFIHOS-00000030
TPV-0048384,FCV-16120,PROP-001,147.4,UOM-BARG,CFIHOS-00000030
TPV-0048385,FCV-16120,PROP-006,2909.5,UOM-KW,CFIHOS-00000030
TPV-0048386,P-16121,PROP-013,52.5,UOM-BARG,CFIHOS-00000030
TPV-0048387,P-16121,PROP-010,Mineral Wool,,CFIHOS-00000030
TPV-0048388,P-16121,PROP-011,109.1,UOM-KG,CFIHOS-00000030
TPV-0048389,FCV-16122,PROP-012,70.9,UOM-BARG,CFIHOS-00000030
TPV-0048390,FCV-16122,PROP-011,11102.0,UOM-KG,CFIHOS-00000030
TPV-0048391,FCV-16122,PROP-004,27.5,UOM-DEGC,CFIHOS-00000030
TPV-0048392,FCV-16123,PROP-004,139.1,UOM-DEGC,CFIHOS-00000030
TPV-0048393,FCV-16123,PROP-013,96.0,UOM-BARG,CFIHOS-00000030
TPV-0048394,FCV-16123,PROP-002,376.4,UOM-DEGC,CFIHOS-00000030
TPV-0048395,FT-16124,PROP-007,Duplex Stainless Steel,,CFIHOS-00000030
TPV-0048396,FT-16124,PROP-002,206.2,UOM-DEGC,CFIHOS-00000030
TPV-0048397,FT-16124,PROP-012,37.0,UOM-BARG,CFIHOS-00000030
TPV-0048398,LT-16125,PROP-013,17.0,UOM-BARG,CFIHOS-00000030
TPV-0048399,LT-16125,PROP-007,Carbon Steel,,CFIHOS-00000030
TPV-0048400,LT-16125,PROP-002,110.3,UOM-DEGC,CFIHOS-00000030
TPV-0048401,P-16126,PROP-007,Hastelloy C276,,CFIHOS-00000030
TPV-0048402,P-16126,PROP-012,94.8,UOM-BARG,CFIHOS-00000030
TPV-0048403,E-16127,PROP-003,34.3,UOM-BARG,CFIHOS-00000030
TPV-0048404,E-16127,PROP-001,2.3,UOM-BARG,CFIHOS-00000030
TPV-0048405,E-16127,PROP-007,Hastelloy C276,,CFIHOS-00000030
TPV-0048406,FCV-16128,PROP-007,Duplex Stainless Steel,,CFIHOS-00000030
TPV-0048407,FCV-16128,PROP-011,5633.8,UOM-KG,CFIHOS-00000030
TPV-0048408,TT-16129,PROP-011,10076.8,UOM-KG,CFIHOS-00000030
TPV-0048409,TT-16129,PROP-009,600#,,CFIHOS-00000030
TPV-0048410,TT-16129,PROP-006,1917.5,UOM-KW,CFIHOS-00000030
TPV-0048411,LT-16130,PROP-004,164.4,UOM-DEGC,CFIHOS-00000030
TPV-0048412,LT-16130,PROP-008,50,UOM-MM,CFIHOS-00000030
TPV-0048413,LT-16130,PROP-010,Calcium Silicate,,CFIHOS-00000030
TPV-0048414,LT-16130,PROP-011,2181.8,UOM-KG,CFIHOS-00000030
TPV-0048415,FCV-16131,PROP-002,88.3,UOM-DEGC,CFIHOS-00000030
TPV-0048416,FCV-16131,PROP-009,600#,,CFIHOS-00000030
TPV-0048417,FCV-16131,PROP-005,2224.8,UOM-M3H,CFIHOS-00000030
TPV-0048418,FCV-16131,PROP-013,30.5,UOM-BARG,CFIHOS-00000030
TPV-0048419,FT-16132,PROP-006,2966.4,UOM-KW,CFIHOS-00000030
TPV-0048420,FT-16132,PROP-011,3125.2,UOM-KG,CFIHOS-00000030
TPV-0048421,FT-16132,PROP-005,2278.0,UOM-M3H,CFIHOS-00000030
TPV-0048422,V-16133,PROP-002,117.4,UOM-DEGC,CFIHOS-00000030
TPV-0048423,V-16133,PROP-008,150,UOM-MM,CFIHOS-00000030
TPV-0048424,V-16133,PROP-010,None,,CFIHOS-00000030
TPV-0048425,V-16134,PROP-007,Carbon Steel,,CFIHOS-00000030
TPV-0048426,V-16134,PROP-009,150#,,CFIHOS-00000030
TPV-0048427,PSV-16135,PROP-009,150#,,CFIHOS-00000030
TPV-0048428,PSV-16135,PROP-013,23.8,UOM-BARG,CFIHOS-00000030
TPV-0048429,PT-16136,PROP-006,1313.3,UOM-KW,CFIHOS-00000030
TPV-0048430,PT-16136,PROP-007,Carbon Steel,,CFIHOS-00000030
TPV-0048431,PT-16136,PROP-002,230.8,UOM-DEGC,CFIHOS-00000030
TPV-0048432,PT-16136,PROP-004,267.1,UOM-DEGC,CFIHOS-00000030
TPV-0048433,FT-16137,PROP-013,69.3,UOM-BARG,CFIHOS-00000030
TPV-0048434,FT-16137,PROP-008,25,UOM-MM,CFIHOS-00000030
TPV-0048435,FT-16137,PROP-007,Duplex Stainless Steel,,CFIHOS-00000030
TPV-0048436,FT-16137,PROP-003,130.7,UOM-BARG,CFIHOS-00000030
TPV-0048437,P-16138,PROP-005,2183.9,UOM-M3H,CFIHOS-00000030
TPV-0048438,P-16138,PROP-003,97.6,UOM-BARG,CFIHOS-00000030
TPV-0048439,P-16139,PROP-006,728.5,UOM-KW,CFIHOS-00000030
TPV-0048440,P-16139,PROP-002,251.0,UOM-DEGC,CFIHOS-00000030
TPV-0048441,FT-16140,PROP-008,400,UOM-MM,CFIHOS-00000030
TPV-0048442,FT-16140,PROP-003,14.3,UOM-BARG,CFIHOS-00000030
TPV-0048443,FT-16140,PROP-013,36.8,UOM-BARG,CFIHOS-00000030
TPV-0048444,FT-16140,PROP-002,385.3,UOM-DEGC,CFIHOS-00000030
TPV-0048445,LT-16141,PROP-009,600#,,CFIHOS-00000030
TPV-0048446,LT-16141,PROP-001,45.5,UOM-BARG,CFIHOS-00000030
TPV-0048447,LT-16141,PROP-002,104.3,UOM-DEGC,CFIHOS-00000030
TPV-0048448,LT-16141,PROP-006,2471.5,UOM-KW,CFIHOS-00000030
TPV-0048449,PSV-16142,PROP-002,423.8,UOM-DEGC,CFIHOS-00000030
TPV-0048450,PSV-16142,PROP-011,1509.4,UOM-KG,CFIHOS-00000030
TPV-0048451,PSV-16142,PROP-003,27.4,UOM-BARG,CFIHOS-00000030
TPV-0048452,PSV-16142,PROP-009,150#,,CFIHOS-00000030
TPV-0048453,PSV-16143,PROP-002,74.4,UOM-DEGC,CFIHOS-00000030
TPV-0048454,PSV-16143,PROP-001,134.7,UOM-BARG,CFIHOS-00000030
TPV-0048455,PT-16144,PROP-012,46.3,UOM-BARG,CFIHOS-00000030
TPV-0048456,PT-16144,PROP-003,15.9,UOM-BARG,CFIHOS-00000030
TPV-0048457,PT-16144,PROP-001,83.9,UOM-BARG,CFIHOS-00000030
TPV-0048458,PT-16144,PROP-008,400,UOM-MM,CFIHOS-00000030
TPV-0048459,K-16145,PROP-013,97.9,UOM-BARG,CFIHOS-00000030
TPV-0048460,K-16145,PROP-010,Personnel Protection,,CFIHOS-00000030
TPV-0048461,K-16145,PROP-011,7722.1,UOM-KG,CFIHOS-00000030
TPV-0048462,TT-16146,PROP-002,253.0,UOM-DEGC,CFIHOS-00000030
TPV-0048463,TT-16146,PROP-006,2715.6,UOM-KW,CFIHOS-00000030
TPV-0048464,TT-16146,PROP-004,10.1,UOM-DEGC,CFIHOS-00000030
TPV-0048465,P-16147,PROP-006,1970.6,UOM-KW,CFIHOS-00000030
TPV-0048466,P-16147,PROP-011,10669.0,UOM-KG,CFIHOS-00000030
TPV-0048467,PT-16148,PROP-001,26.4,UOM-BARG,CFIHOS-00000030
TPV-0048468,PT-16148,PROP-006,1815.2,UOM-KW,CFIHOS-00000030
TPV-0048469,PT-16149,PROP-009,600#,,CFIHOS-00000030
TPV-0048470,PT-16149,PROP-003,95.2,UOM-BARG,CFIHOS-00000030
TPV-0048471,PT-16149,PROP-012,79.0,UOM-BARG,CFIHOS-00000030
TPV-0048472,K-16150,PROP-011,1890.9,UOM-KG,CFIHOS-00000030
TPV-0048473,K-16150,PROP-004,237.4,UOM-DEGC,CFIHOS-00000030
TPV-0048474,PSV-16151,PROP-010,Mineral Wool,,CFIHOS-00000030
TPV-0048475,PSV-16151,PROP-009,300#,,CFIHOS-00000030
TPV-0048476,PSV-16151,PROP-013,65.2,UOM-BARG,CFIHOS-00000030
TPV-0048477,PSV-16151,PROP-004,9.4,UOM-DEGC,CFIHOS-00000030
TPV-0048478,TT-16152,PROP-002,325.4,UOM-DEGC,CFIHOS-00000030
TPV-0048479,TT-16152,PROP-011,4484.3,UOM-KG,CFIHOS-00000030
TPV-0048480,TT-16152,PROP-010,Personnel Protection,,CFIHOS-00000030
TPV-0048481,LT-16153,PROP-010,Calcium Silicate,,CFIHOS-00000030
TPV-0048482,LT-16153,PROP-012,96.4,UOM-BARG,CFIHOS-00000030
TPV-0048483,LT-16153,PROP-004,-12.4,UOM-DEGC,CFIHOS-00000030
TPV-0048484,LT-16153,PROP-013,6.6,UOM-BARG,CFIHOS-00000030
TPV-0048485,E-16154,PROP-009,900#,,CFIHOS-00000030
TPV-0048486,E-16154,PROP-011,892.4,UOM-KG,CFIHOS-00000030
TPV-0048487,E-16154,PROP-002,72.1,UOM-DEGC,CFIHOS-00000030
TPV-0048488,E-16154,PROP-010,Mineral Wool,,CFIHOS-00000030
TPV-0048489,E-16155,PROP-010,Calcium Silicate,,CFIHOS-00000030
TPV-0048490,E-16155,PROP-012,2.6,UOM-BARG,CFIHOS-00000030
TPV-0048491,COL-16156,PROP-007,Duplex Stainless Steel,,CFIHOS-00000030
TPV-0048492,COL-16156,PROP-006,2633.6,UOM-KW,CFIHOS-00000030
TPV-0048493,COL-16156,PROP-003,93.5,UOM-BARG,CFIHOS-00000030
TPV-0048494,P-16157,PROP-004,224.0,UOM-DEGC,CFIHOS-00000030
TPV-0048495,P-16157,PROP-013,88.5,UOM-BARG,CFIHOS-00000030
TPV-0048496,P-16157,PROP-002,181.1,UOM-DEGC,CFIHOS-00000030
TPV-0048497,K-16158,PROP-013,35.6,UOM-BARG,CFIHOS-00000030
TPV-0048498,K-16158,PROP-006,747.9,UOM-KW,CFIHOS-00000030
TPV-0048499,E-16159,PROP-011,795.5,UOM-KG,CFIHOS-00000030
TPV-0048500,E-16159,PROP-005,540.8,UOM-M3H,CFIHOS-00000030
TPV-0048501,XV-16160,PROP-013,81.7,UOM-BARG,CFIHOS-00000030
TPV-0048502,XV-16160,PROP-008,400,UOM-MM,CFIHOS-00000030
TPV-0048503,XV-16160,PROP-001,101.5,UOM-BARG,CFIHOS-00000030
TPV-0048504,XV-16160,PROP-007,Carbon Steel,,CFIHOS-00000030
TPV-0048505,PSV-16161,PROP-007,Stainless Steel 316,,CFIHOS-00000030
TPV-0048506,PSV-16161,PROP-012,96.3,UOM-BARG,CFIHOS-00000030
TPV-0048507,PSV-16161,PROP-013,91.2,UOM-BARG,CFIHOS-00000030
TPV-0048508,PSV-16161,PROP-005,219.5,UOM-M3H,CFIHOS-00000030
TPV-0048509,COL-16162,PROP-013,26.9,UOM-BARG,CFIHOS-00000030
TPV-0048510,COL-16162,PROP-009,150#,,CFIHOS-00000030
TPV-0048511,COL-16162,PROP-011,6338.4,UOM-KG,CFIHOS-00000030
TPV-0048512,FT-16163,PROP-012,90.9,UOM-BARG,CFIHOS-00000030
TPV-0048513,FT-16163,PROP-004,235.9,UOM-DEGC,CFIHOS-00000030
TPV-0048514,V-16164,PROP-008,50,UOM-MM,CFIHOS-00000030
TPV-0048515,V-16164,PROP-012,38.9,UOM-BARG,CFIHOS-00000030
TPV-0048516,V-16164,PROP-002,134.4,UOM-DEGC,CFIHOS-00000030
TPV-0048517,V-16164,PROP-005,419.0,UOM-M3H,CFIHOS-00000030
TPV-0048518,FT-16165,PROP-013,66.3,UOM-BARG,CFIHOS-00000030
TPV-0048519,FT-16165,PROP-006,480.5,UOM-KW,CFIHOS-00000030
TPV-0048520,PSV-16166,PROP-009,600#,,CFIHOS-00000030
TPV-0048521,PSV-16166,PROP-012,95.2,UOM-BARG,CFIHOS-00000030
TPV-0048522,E-16167,PROP-006,1817.2,UOM-KW,CFIHOS-00000030
TPV-0048523,E-16167,PROP-007,Hastelloy C276,,CFIHOS-00000030
TPV-0048524,E-16167,PROP-004,257.9,UOM-DEGC,CFIHOS-00000030
TPV-0048525,P-16168,PROP-011,5506.6,UOM-KG,CFIHOS-00000030
TPV-0048526,P-16168,PROP-005,1367.1,UOM-M3H,CFIHOS-00000030
TPV-0048527,P-16168,PROP-013,57.9,UOM-BARG,CFIHOS-00000030
TPV-0048528,P-16168,PROP-006,2259.1,UOM-KW,CFIHOS-00000030
TPV-0048529,PT-16169,PROP-005,1806.3,UOM-M3H,CFIHOS-00000030
TPV-0048530,PT-16169,PROP-003,11.2,UOM-BARG,CFIHOS-00000030
TPV-0048531,PT-16169,PROP-013,6.4,UOM-BARG,CFIHOS-00000030
TPV-0048532,PT-16169,PROP-002,322.9,UOM-DEGC,CFIHOS-00000030
TPV-0048533,FCV-16170,PROP-006,2496.5,UOM-KW,CFIHOS-00000030
TPV-0048534,FCV-16170,PROP-012,84.1,UOM-BARG,CFIHOS-00000030
TPV-0048535,FCV-16170,PROP-001,129.8,UOM-BARG,CFIHOS-00000030
TPV-0048536,FCV-16170,PROP-013,69.4,UOM-BARG,CFIHOS-00000030
TPV-0048537,FT-16171,PROP-004,200.6,UOM-DEGC,CFIHOS-00000030
TPV-0048538,FT-16171,PROP-006,1211.7,UOM-KW,CFIHOS-00000030
TPV-0048539,FT-16171,PROP-003,30.0,UOM-BARG,CFIHOS-00000030
TPV-0048540,P-16172,PROP-010,None,,CFIHOS-00000030
TPV-0048541,P-16172,PROP-013,18.9,UOM-BARG,CFIHOS-00000030
TPV-0048542,P-16172,PROP-007,Hastelloy C276,,CFIHOS-00000030
TPV-0048543,P-16172,PROP-012,90.0,UOM-BARG,CFIHOS-00000030
TPV-0048544,K-16173,PROP-008,50,UOM-MM,CFIHOS-00000030
TPV-0048545,K-16173,PROP-013,32.1,UOM-BARG,CFIHOS-00000030
TPV-0048546,K-16173,PROP-010,Calcium Silicate,,CFIHOS-00000030
TPV-0048547,K-16173,PROP-006,257.7,UOM-KW,CFIHOS-00000030
TPV-0048548,LT-16174,PROP-007,Stainless Steel 316,,CFIHOS-00000030
TPV-0048549,LT-16174,PROP-010,Calcium Silicate,,CFIHOS-00000030
TPV-0048550,LT-16174,PROP-011,6819.6,UOM-KG,CFIHOS-00000030
TPV-0048551,LT-16174,PROP-001,9.5,UOM-BARG,CFIHOS-00000030
TPV-0048552,K-16175,PROP-001,118.9,UOM-BARG,CFIHOS-00000030
TPV-0048553,K-16175,PROP-006,2088.1,UOM-KW,CFIHOS-00000030
TPV-0048554,FT-16176,PROP-013,98.5,UOM-BARG,CFIHOS-00000030
TPV-0048555,FT-16176,PROP-008,50,UOM-MM,CFIHOS-00000030
TPV-0048556,E-16177,PROP-009,300#,,CFIHOS-00000030
TPV-0048557,E-16177,PROP-012,48.0,UOM-BARG,CFIHOS-00000030
TPV-0048558,E-16177,PROP-004,203.6,UOM-DEGC,CFIHOS-00000030
TPV-0048559,E-16177,PROP-003,145.5,UOM-BARG,CFIHOS-00000030
TPV-0048560,V-16178,PROP-003,82.8,UOM-BARG,CFIHOS-00000030
TPV-0048561,V-16178,PROP-007,Carbon Steel,,CFIHOS-00000030
TPV-0048562,V-16178,PROP-008,50,UOM-MM,CFIHOS-00000030
TPV-0048563,V-16178,PROP-004,448.2,UOM-DEGC,CFIHOS-00000030
TPV-0048564,TT-16179,PROP-004,217.1,UOM-DEGC,CFIHOS-00000030
TPV-0048565,TT-16179,PROP-002,205.6,UOM-DEGC,CFIHOS-00000030
TPV-0048566,TT-16179,PROP-003,3.9,UOM-BARG,CFIHOS-00000030
TPV-0048567,TT-16179,PROP-001,13.9,UOM-BARG,CFIHOS-00000030
TPV-0048568,K-16180,PROP-008,80,UOM-MM,CFIHOS-00000030
TPV-0048569,K-16180,PROP-009,150#,,CFIHOS-00000030
TPV-0048570,K-16180,PROP-011,9639.6,UOM-KG,CFIHOS-00000030
TPV-0048571,K-16180,PROP-004,84.0,UOM-DEGC,CFIHOS-00000030
TPV-0048572,COL-16181,PROP-007,Hastelloy C276,,CFIHOS-00000030
TPV-0048573,COL-16181,PROP-003,116.8,UOM-BARG,CFIHOS-00000030
TPV-0048574,COL-16181,PROP-008,50,UOM-MM,CFIHOS-00000030
TPV-0048575,COL-16181,PROP-004,423.5,UOM-DEGC,CFIHOS-00000030
TPV-0048576,COL-16182,PROP-006,850.2,UOM-KW,CFIHOS-00000030
TPV-0048577,COL-16182,PROP-013,29.6,UOM-BARG,CFIHOS-00000030
TPV-0048578,COL-16182,PROP-012,76.4,UOM-BARG,CFIHOS-00000030
TPV-0048579,COL-16182,PROP-009,150#,,CFIHOS-00000030
TPV-0048580,LT-16183,PROP-009,900#,,CFIHOS-00000030
TPV-0048581,LT-16183,PROP-012,61.3,UOM-BARG,CFIHOS-00000030
TPV-0048582,FCV-16184,PROP-008,25,UOM-MM,CFIHOS-00000030
TPV-0048583,FCV-16184,PROP-009,900#,,CFIHOS-00000030
TPV-0048584,FCV-16184,PROP-013,29.2,UOM-BARG,CFIHOS-00000030
TPV-0048585,FCV-16184,PROP-001,26.8,UOM-BARG,CFIHOS-00000030
TPV-0048586,V-16185,PROP-008,400,UOM-MM,CFIHOS-00000030
TPV-0048587,V-16185,PROP-004,404.5,UOM-DEGC,CFIHOS-00000030
TPV-0048588,V-16185,PROP-011,7212.2,UOM-KG,CFIHOS-00000030
TPV-0048589,V-16186,PROP-006,2439.4,UOM-KW,CFIHOS-00000030
TPV-0048590,V-16186,PROP-007,Hastelloy C276,,CFIHOS-00000030
TPV-0048591,V-16186,PROP-011,8729.5,UOM-KG,CFIHOS-00000030
TPV-0048592,V-16186,PROP-004,420.4,UOM-DEGC,CFIHOS-00000030
TPV-0048593,PT-16187,PROP-002,6.4,UOM-DEGC,CFIHOS-00000030
TPV-0048594,PT-16187,PROP-001,60.7,UOM-BARG,CFIHOS-00000030
TPV-0048595,PT-16187,PROP-003,128.6,UOM-BARG,CFIHOS-00000030
TPV-0048596,P-16188,PROP-004,449.2,UOM-DEGC,CFIHOS-00000030
TPV-0048597,P-16188,PROP-006,1853.3,UOM-KW,CFIHOS-00000030
TPV-0048598,COL-16189,PROP-004,289.9,UOM-DEGC,CFIHOS-00000030
TPV-0048599,COL-16189,PROP-010,None,,CFIHOS-00000030
TPV-0048600,COL-16189,PROP-006,2093.3,UOM-KW,CFIHOS-00000030
TPV-0048601,COL-16189,PROP-005,2148.1,UOM-M3H,CFIHOS-00000030
TPV-0048602,V-16190,PROP-006,2428.8,UOM-KW,CFIHOS-00000030
TPV-0048603,V-16190,PROP-002,354.1,UOM-DEGC,CFIHOS-00000030
TPV-0048604,V-16190,PROP-001,125.7,UOM-BARG,CFIHOS-00000030
TPV-0048605,V-16190,PROP-009,900#,,CFIHOS-00000030
TPV-0048606,P-16191,PROP-011,7286.6,UOM-KG,CFIHOS-00000030
TPV-0048607,P-16191,PROP-005,159.6,UOM-M3H,CFIHOS-00000030
TPV-0048608,P-16191,PROP-008,600,UOM-MM,CFIHOS-00000030
TPV-0048609,PT-16192,PROP-010,Mineral Wool,,CFIHOS-00000030
TPV-0048610,PT-16192,PROP-001,59.9,UOM-BARG,CFIHOS-00000030
TPV-0048611,PT-16192,PROP-002,34.0,UOM-DEGC,CFIHOS-00000030
TPV-0048612,PSV-16193,PROP-009,900#,,CFIHOS-00000030
TPV-0048613,PSV-16193,PROP-004,12.3,UOM-DEGC,CFIHOS-00000030
TPV-0048614,P-16194,PROP-004,120.1,UOM-DEGC,CFIHOS-00000030
TPV-0048615,P-16194,PROP-005,1731.9,UOM-M3H,CFIHOS-00000030
TPV-0048616,PSV-16195,PROP-006,1077.3,UOM-KW,CFIHOS-00000030
TPV-0048617,PSV-16195,PROP-012,18.4,UOM-BARG,CFIHOS-00000030
TPV-0048618,FT-16196,PROP-005,1480.7,UOM-M3H,CFIHOS-00000030
TPV-0048619,FT-16196,PROP-011,6925.8,UOM-KG,CFIHOS-00000030
TPV-0048620,LT-16197,PROP-013,51.0,UOM-BARG,CFIHOS-00000030
TPV-0048621,LT-16197,PROP-011,9006.4,UOM-KG,CFIHOS-00000030
TPV-0048622,LT-16197,PROP-008,50,UOM-MM,CFIHOS-00000030
TPV-0048623,LT-16197,PROP-003,6.3,UOM-BARG,CFIHOS-00000030
TPV-0048624,V-16198,PROP-013,33.1,UOM-BARG,CFIHOS-00000030
TPV-0048625,V-16198,PROP-002,21.8,UOM-DEGC,CFIHOS-00000030
TPV-0048626,E-16199,PROP-010,Calcium Silicate,,CFIHOS-00000030
TPV-0048627,E-16199,PROP-001,36.8,UOM-BARG,CFIHOS-00000030
TPV-0048628,E-16199,PROP-007,Duplex Stainless Steel,,CFIHOS-00000030
TPV-0048629,E-16199,PROP-005,193.3,UOM-M3H,CFIHOS-00000030
TPV-0048630,K-16200,PROP-008,400,UOM-MM,CFIHOS-00000030
TPV-0048631,K-16200,PROP-006,830.5,UOM-KW,CFIHOS-00000030
TPV-0048632,K-16200,PROP-010,None,,CFIHOS-00000030
TPV-0048633,K-16200,PROP-004,114.5,UOM-DEGC,CFIHOS-00000030
TPV-0048634,COL-16201,PROP-002,172.3,UOM-DEGC,CFIHOS-00000030
TPV-0048635,COL-16201,PROP-012,66.2,UOM-BARG,CFIHOS-00000030
TPV-0048636,COL-16201,PROP-004,447.7,UOM-DEGC,CFIHOS-00000030
TPV-0048637,COL-16202,PROP-003,17.7,UOM-BARG,CFIHOS-00000030
TPV-0048638,COL-16202,PROP-004,38.2,UOM-DEGC,CFIHOS-00000030
TPV-0048639,XV-16203,PROP-011,1026.9,UOM-KG,CFIHOS-00000030
TPV-0048640,XV-16203,PROP-003,17.1,UOM-BARG,CFIHOS-00000030
TPV-0048641,XV-16203,PROP-006,2745.5,UOM-KW,CFIHOS-00000030
TPV-0048642,LT-16204,PROP-012,56.9,UOM-BARG,CFIHOS-00000030
TPV-0048643,LT-16204,PROP-005,244.2,UOM-M3H,CFIHOS-00000030
TPV-0048644,LT-16204,PROP-007,Stainless Steel 316,,CFIHOS-00000030
TPV-0048645,V-16205,PROP-008,150,UOM-MM,CFIHOS-00000030
TPV-0048646,V-16205,PROP-002,345.4,UOM-DEGC,CFIHOS-00000030
TPV-0048647,V-16205,PROP-003,69.7,UOM-BARG,CFIHOS-00000030
TPV-0048648,XV-16206,PROP-009,300#,,CFIHOS-00000030
TPV-0048649,XV-16206,PROP-008,25,UOM-MM,CFIHOS-00000030
TPV-0048650,PT-16207,PROP-005,436.3,UOM-M3H,CFIHOS-00000030
TPV-0048651,PT-16207,PROP-008,25,UOM-MM,CFIHOS-00000030
TPV-0048652,K-16208,PROP-011,10286.6,UOM-KG,CFIHOS-00000030
TPV-0048653,K-16208,PROP-002,100.8,UOM-DEGC,CFIHOS-00000030
TPV-0048654,PSV-16209,PROP-001,2.7,UOM-BARG,CFIHOS-00000030
TPV-0048655,PSV-16209,PROP-002,254.8,UOM-DEGC,CFIHOS-00000030
TPV-0048656,PSV-16209,PROP-003,51.4,UOM-BARG,CFIHOS-00000030
TPV-0048657,PSV-16209,PROP-010,None,,CFIHOS-00000030
TPV-0048658,XV-16210,PROP-010,None,,CFIHOS-00000030
TPV-0048659,XV-16210,PROP-012,33.5,UOM-BARG,CFIHOS-00000030
TPV-0048660,XV-16210,PROP-001,111.3,UOM-BARG,CFIHOS-00000030
